REC_NO,AFFINITY_CARD,CUST_GENDER,AGE,OCCUPATION,CUST_INCOME_LEVEL,CUST_MARITAL_STATUS,HOUSEHOLD_SIZE,YRS_RESIDENCE,PROD_NAME,PROD_CATEGORY,PROD_SUBCATEGORY,PROD_LIST_PRICE,QUANTITY_SOLD,AMOUNT_SOLD,COUNTRY_NAME
620,0,M,37,Machine,"J: 190,000 - 249,999",Divorc.,2,5,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
621,0,F,21,Cleric.,"E: 90,000 - 109,999",NeverM,2,1,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
622,0,F,44,Other,"J: 190,000 - 249,999",Divorc.,9+,4,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
623,0,M,32,Other,"E: 90,000 - 109,999",Married,3,3,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
624,0,M,39,Cleric.,"L: 300,000 and above",Married,3,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
625,1,M,51,Prof.,"H: 150,000 - 169,999",NeverM,2,8,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
626,1,M,61,Sales,"B: 30,000 - 49,999",Married,3,6,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
627,1,M,61,Sales,"B: 30,000 - 49,999",Married,3,6,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
628,1,M,34,Crafts,"H: 150,000 - 169,999",Married,3,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
629,1,M,34,Crafts,"H: 150,000 - 169,999",Married,3,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
630,1,M,55,Prof.,"J: 190,000 - 249,999",Married,3,6,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
631,1,M,55,Prof.,"J: 190,000 - 249,999",Married,3,6,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
632,1,M,55,Prof.,"J: 190,000 - 249,999",Married,3,6,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
633,0,M,26,Prof.,"K: 250,000 - 299,999",NeverM,2,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
634,0,M,26,Prof.,"K: 250,000 - 299,999",NeverM,2,3,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
635,0,M,26,Prof.,"K: 250,000 - 299,999",NeverM,2,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
636,0,M,27,Crafts,"E: 90,000 - 109,999",NeverM,2,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
637,1,M,43,Exec.,"J: 190,000 - 249,999",Married,3,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
638,0,M,29,Sales,"J: 190,000 - 249,999",Married,3,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
639,0,M,37,Crafts,"H: 150,000 - 169,999",Separ.,2,4,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
640,0,M,37,Crafts,"H: 150,000 - 169,999",Separ.,2,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
641,0,F,45,Prof.,"L: 300,000 and above",Divorc.,9+,5,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
642,1,M,23,Other,"B: 30,000 - 49,999",Separ.,2,2,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
643,1,F,33,Exec.,"B: 30,000 - 49,999",Married,4-5,3,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
644,0,M,42,Transp.,"I: 170,000 - 189,999",Married,3,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
645,0,M,42,Transp.,"I: 170,000 - 189,999",Married,3,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
646,0,F,22,Cleric.,"E: 90,000 - 109,999",NeverM,1,2,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
647,0,F,20,?,"F: 110,000 - 129,999",NeverM,1,2,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
648,0,M,36,Crafts,"K: 250,000 - 299,999",Married,3,4,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
649,0,M,37,Other,"I: 170,000 - 189,999",Married,3,2,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
650,0,M,37,Other,"I: 170,000 - 189,999",Married,3,2,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
651,0,M,37,Other,"I: 170,000 - 189,999",Married,3,2,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
652,1,M,44,Exec.,"I: 170,000 - 189,999",Married,3,7,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
653,0,M,41,Crafts,"H: 150,000 - 169,999",Separ.,2,5,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
654,0,M,41,Crafts,"H: 150,000 - 169,999",Separ.,2,5,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
655,0,M,34,Crafts,"K: 250,000 - 299,999",Married,3,3,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
656,0,F,22,Sales,"L: 300,000 and above",NeverM,1,2,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
657,0,F,29,Sales,"L: 300,000 and above",NeverM,1,3,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
658,1,F,43,Exec.,"I: 170,000 - 189,999",Married,4-5,3,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
659,1,F,51,TechSup,"J: 190,000 - 249,999",Married,4-5,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
660,1,F,51,TechSup,"J: 190,000 - 249,999",Married,4-5,5,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
661,1,F,51,TechSup,"J: 190,000 - 249,999",Married,4-5,5,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
662,1,M,38,Sales,"J: 190,000 - 249,999",Married,3,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
663,1,M,38,Sales,"J: 190,000 - 249,999",Married,3,5,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
664,1,M,38,Sales,"J: 190,000 - 249,999",Married,3,5,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
665,1,M,44,Crafts,"I: 170,000 - 189,999",Married,3,4,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
666,0,M,68,Sales,"K: 250,000 - 299,999",Married,3,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
667,0,F,29,Cleric.,"I: 170,000 - 189,999",Separ.,9+,3,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
668,0,F,60,Prof.,"A: Below 30,000",Divorc.,2,6,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
669,0,M,42,Handler,"F: 110,000 - 129,999",Married,3,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
670,0,M,42,Handler,"F: 110,000 - 129,999",Married,3,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
671,0,M,30,Machine,"E: 90,000 - 109,999",Divorc.,9+,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
672,0,M,30,Machine,"E: 90,000 - 109,999",Divorc.,9+,3,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
673,0,F,44,Exec.,"J: 190,000 - 249,999",Divorc.,6-8,6,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
674,0,F,44,Exec.,"J: 190,000 - 249,999",Divorc.,6-8,6,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
675,0,M,44,Crafts,"D: 70,000 - 89,999",Divorc.,2,4,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
676,0,M,44,Crafts,"D: 70,000 - 89,999",Divorc.,2,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
677,0,M,57,Prof.,"J: 190,000 - 249,999",Married,3,9,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
678,1,F,41,Exec.,"J: 190,000 - 249,999",Married,4-5,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
679,1,F,41,Exec.,"J: 190,000 - 249,999",Married,4-5,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
680,1,M,71,Sales,"G: 130,000 - 149,999",Married,3,7,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
681,1,M,46,Transp.,"K: 250,000 - 299,999",Married,3,5,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
682,0,M,19,Other,"L: 300,000 and above",NeverM,1,1,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
683,0,F,23,Machine,"G: 130,000 - 149,999",NeverM,1,2,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
684,0,F,20,Sales,"F: 110,000 - 129,999",NeverM,1,2,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
685,0,F,20,Sales,"F: 110,000 - 129,999",NeverM,1,2,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
686,0,F,20,Sales,"F: 110,000 - 129,999",NeverM,1,2,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
687,1,M,58,Cleric.,"I: 170,000 - 189,999",Married,3,6,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
688,0,F,48,Sales,"I: 170,000 - 189,999",Divorc.,2,5,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
689,0,F,17,Cleric.,"L: 300,000 and above",NeverM,1,1,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
690,0,F,17,Cleric.,"L: 300,000 and above",NeverM,1,1,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
691,0,M,28,Prof.,"K: 250,000 - 299,999",Married,3,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
692,0,M,28,Prof.,"K: 250,000 - 299,999",Married,3,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
693,0,F,19,Cleric.,"J: 190,000 - 249,999",NeverM,6-8,2,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
694,0,F,19,Cleric.,"J: 190,000 - 249,999",NeverM,6-8,2,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
695,0,M,33,Crafts,"I: 170,000 - 189,999",Married,3,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
696,0,M,41,Farming,"F: 110,000 - 129,999",Married,3,2,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
697,0,F,20,Cleric.,"I: 170,000 - 189,999",NeverM,1,1,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
698,0,F,20,Cleric.,"I: 170,000 - 189,999",NeverM,1,1,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
699,1,M,30,Sales,"K: 250,000 - 299,999",Married,3,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
700,1,M,48,Crafts,"I: 170,000 - 189,999",Married,3,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
701,1,M,48,Crafts,"I: 170,000 - 189,999",Married,3,5,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
702,0,F,53,Machine,"F: 110,000 - 129,999",Widowed,2,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
703,0,M,27,Prof.,"J: 190,000 - 249,999",NeverM,2,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
704,0,M,27,Prof.,"J: 190,000 - 249,999",NeverM,2,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
705,0,M,21,Handler,"J: 190,000 - 249,999",NeverM,1,2,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
706,0,M,27,Cleric.,"E: 90,000 - 109,999",Divorc.,2,3,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
707,1,F,58,Cleric.,"J: 190,000 - 249,999",Divorc.,2,9,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
708,1,F,58,Cleric.,"J: 190,000 - 249,999",Divorc.,2,9,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
709,0,F,36,Cleric.,"C: 50,000 - 69,999",NeverM,2,5,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
710,0,F,25,TechSup,"J: 190,000 - 249,999",Divorc.,9+,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
711,0,F,25,TechSup,"J: 190,000 - 249,999",Divorc.,9+,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
712,0,M,51,Handler,"K: 250,000 - 299,999",Widowed,2,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
713,1,M,49,Sales,"K: 250,000 - 299,999",Married,3,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
714,0,F,47,Cleric.,"L: 300,000 and above",Separ.,9+,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
715,1,F,61,Other,"H: 150,000 - 169,999",Widowed,9+,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
716,1,F,61,Other,"H: 150,000 - 169,999",Widowed,9+,5,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
717,1,F,61,Other,"H: 150,000 - 169,999",Widowed,9+,5,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
718,0,M,26,Other,"J: 190,000 - 249,999",Married,3,3,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
719,0,M,26,Other,"J: 190,000 - 249,999",Married,3,3,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
720,0,M,26,Transp.,"L: 300,000 and above",NeverM,1,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
721,0,F,33,Crafts,"K: 250,000 - 299,999",Married,4-5,5,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
722,0,F,33,Crafts,"K: 250,000 - 299,999",Married,4-5,5,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
723,0,M,23,Cleric.,"L: 300,000 and above",NeverM,2,2,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
724,0,M,32,Cleric.,"L: 300,000 and above",Married,3,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
725,0,M,32,Cleric.,"L: 300,000 and above",Married,3,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
726,0,F,17,Other,"G: 130,000 - 149,999",NeverM,1,0,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
727,0,F,17,Other,"G: 130,000 - 149,999",NeverM,1,0,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
728,0,F,17,Other,"G: 130,000 - 149,999",NeverM,1,0,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
729,0,M,19,Machine,"J: 190,000 - 249,999",NeverM,6-8,2,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
730,0,M,42,Transp.,"J: 190,000 - 249,999",Married,3,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
731,0,M,22,Cleric.,"G: 130,000 - 149,999",NeverM,1,2,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
732,0,F,26,Exec.,"J: 190,000 - 249,999",NeverM,2,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
733,0,F,26,Exec.,"J: 190,000 - 249,999",NeverM,2,3,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
734,1,F,53,Exec.,"I: 170,000 - 189,999",Married,4-5,5,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
735,0,M,25,Sales,"J: 190,000 - 249,999",NeverM,2,3,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
736,0,M,25,Sales,"J: 190,000 - 249,999",NeverM,2,3,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
737,1,M,50,TechSup,"J: 190,000 - 249,999",Married,3,6,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
738,1,M,50,TechSup,"J: 190,000 - 249,999",Married,3,6,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
739,1,M,50,TechSup,"J: 190,000 - 249,999",Married,3,6,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
740,0,M,56,Exec.,"L: 300,000 and above",Married,3,6,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
741,0,M,36,Transp.,"A: Below 30,000",Married,3,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
742,0,M,36,Transp.,"A: Below 30,000",Married,3,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
743,1,M,45,Prof.,"J: 190,000 - 249,999",Married,3,7,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
744,1,M,45,Prof.,"J: 190,000 - 249,999",Married,3,7,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
745,1,M,45,Prof.,"J: 190,000 - 249,999",Married,3,7,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
746,1,M,44,TechSup,"B: 30,000 - 49,999",Married,3,2,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
747,0,M,19,?,"J: 190,000 - 249,999",NeverM,6-8,1,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
748,0,M,19,?,"J: 190,000 - 249,999",NeverM,6-8,1,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
749,0,M,19,?,"J: 190,000 - 249,999",NeverM,6-8,1,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
750,1,M,46,Prof.,"F: 110,000 - 129,999",Married,3,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
751,1,F,57,Cleric.,"F: 110,000 - 129,999",Widowed,9+,6,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
752,1,F,57,Cleric.,"F: 110,000 - 129,999",Widowed,9+,6,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
753,0,M,55,Crafts,"L: 300,000 and above",Married,3,7,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
754,0,M,26,Transp.,"H: 150,000 - 169,999",NeverM,2,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
755,0,M,26,Transp.,"H: 150,000 - 169,999",NeverM,2,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
756,0,M,27,Prof.,"J: 190,000 - 249,999",NeverM,2,1,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
757,0,M,27,Prof.,"J: 190,000 - 249,999",NeverM,2,1,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
758,0,M,27,Prof.,"J: 190,000 - 249,999",NeverM,2,1,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
759,0,F,24,Other,"I: 170,000 - 189,999",NeverM,1,2,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
760,0,M,29,Sales,"J: 190,000 - 249,999",Divorc.,2,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
761,0,M,29,Sales,"J: 190,000 - 249,999",Divorc.,2,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
762,0,M,27,Sales,"E: 90,000 - 109,999",Married,3,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
763,0,M,30,Handler,"J: 190,000 - 249,999",Married,3,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
764,0,F,70,Cleric.,"E: 90,000 - 109,999",Widowed,9+,2,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
765,0,F,70,Cleric.,"E: 90,000 - 109,999",Widowed,9+,2,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
766,0,M,80,Crafts,"K: 250,000 - 299,999",Married,3,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
767,0,M,80,Crafts,"K: 250,000 - 299,999",Married,3,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
768,0,M,51,Crafts,"F: 110,000 - 129,999",Married,3,5,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
769,0,F,35,Cleric.,"L: 300,000 and above",Mar-AF,4-5,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
770,0,F,35,Cleric.,"L: 300,000 and above",Mar-AF,4-5,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
771,0,F,66,Sales,"I: 170,000 - 189,999",Widowed,6-8,7,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
772,0,F,20,?,"C: 50,000 - 69,999",NeverM,1,2,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
773,0,M,26,Crafts,"C: 50,000 - 69,999",Married,3,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
774,0,M,26,Crafts,"C: 50,000 - 69,999",Married,3,3,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
775,0,M,33,Sales,"G: 130,000 - 149,999",Married,3,6,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
776,0,M,35,Machine,"J: 190,000 - 249,999",Married,3,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
777,0,M,40,Crafts,"J: 190,000 - 249,999",NeverM,2,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
778,0,M,40,Crafts,"J: 190,000 - 249,999",NeverM,2,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
779,0,M,29,Crafts,"I: 170,000 - 189,999",Married,3,3,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
780,0,F,47,Other,"A: Below 30,000",NeverM,2,7,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
781,0,M,37,Cleric.,"L: 300,000 and above",Married,3,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
782,0,M,37,Cleric.,"L: 300,000 and above",Married,3,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
783,0,F,22,Cleric.,"F: 110,000 - 129,999",NeverM,1,2,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
784,1,M,48,Crafts,"K: 250,000 - 299,999",Married,3,6,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
785,1,M,48,Crafts,"K: 250,000 - 299,999",Married,3,6,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
786,0,M,31,Machine,"D: 70,000 - 89,999",NeverM,1,5,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
787,1,M,46,Sales,"L: 300,000 and above",Married,3,7,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
788,0,M,29,?,"B: 30,000 - 49,999",Mabsent,2,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
789,0,F,22,Other,"F: 110,000 - 129,999",NeverM,2,2,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
790,0,M,63,Crafts,"C: 50,000 - 69,999",Married,3,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
791,0,M,63,Crafts,"C: 50,000 - 69,999",Married,3,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
792,0,M,23,Crafts,"J: 190,000 - 249,999",NeverM,2,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
793,0,M,39,Farming,"L: 300,000 and above",NeverM,1,1,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
794,0,M,37,Farming,"L: 300,000 and above",Married,3,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
795,1,F,34,Other,"E: 90,000 - 109,999",Married,4-5,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
796,1,F,34,Other,"E: 90,000 - 109,999",Married,4-5,3,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
797,1,F,34,Other,"E: 90,000 - 109,999",Married,4-5,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
798,0,F,55,TechSup,"I: 170,000 - 189,999",Married,4-5,3,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
799,1,M,43,Crafts,"I: 170,000 - 189,999",Married,3,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
800,1,M,42,TechSup,"J: 190,000 - 249,999",Married,3,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
801,0,M,45,Handler,"G: 130,000 - 149,999",Married,3,5,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
802,0,M,45,Handler,"G: 130,000 - 149,999",Married,3,5,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
803,0,F,36,Prof.,"B: 30,000 - 49,999",Divorc.,2,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
804,0,F,36,Prof.,"B: 30,000 - 49,999",Divorc.,2,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
805,0,F,53,Machine,"G: 130,000 - 149,999",Divorc.,2,5,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
806,0,M,26,Transp.,"J: 190,000 - 249,999",Married,3,5,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
807,1,M,45,Sales,"G: 130,000 - 149,999",Married,3,6,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
808,1,M,45,Sales,"G: 130,000 - 149,999",Married,3,6,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
809,0,M,51,Transp.,"K: 250,000 - 299,999",Widowed,9+,5,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
810,0,M,51,Transp.,"K: 250,000 - 299,999",Widowed,9+,5,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
